Date,Open,High,Low,Close,Adj Close,Volume
23-05-13,62.278572,63.737144,62.255714,63.162857,49.204716,88255300
24-05-13,62.978573,63.665714,62.908573,63.592857,49.539684,69041700
28-05-13,64.271431,64.444283,62.978573,63.062859,49.126816,96536300
29-05-13,62.857143,63.92857,62.771427,63.564285,49.517426,82644100
30-05-13,63.664288,64.928574,63.501427,64.511429,50.255272,88379900
31-05-13,64.64286,65.300003,64.214287,64.247147,50.049389,96075700
03-06-13,64.389999,64.622856,63.21143,64.388573,50.159561,93088100
04-06-13,64.745712,64.918571,63.912857,64.187141,50.002651,73182200
05-06-13,63.664288,64.388573,63.387142,63.587143,49.535236,72647400
06-06-13,63.638573,63.857143,62.007141,62.637142,48.795177,104233500
07-06-13,62.357143,63.32,61.824287,63.115715,49.167988,101133900
10-06-13,63.532856,64.154289,62.400002,62.69857,48.843029,112538300
11-06-13,62.248573,63.251427,61.902859,62.514286,48.699463,71528100
12-06-13,62.785713,63.035713,61.642857,61.741428,48.097401,66306800
13-06-13,61.785713,62.44857,61.25,62.279999,48.516949,71458100
14-06-13,62.200001,62.327145,61.214287,61.435715,47.859241,67966500
17-06-13,61.634285,62.242859,61.48,61.714287,48.076256,64853600
18-06-13,61.651428,62.128571,61.458572,61.681427,48.050667,48756400
19-06-13,61.628571,61.665714,60.42857,60.42857,47.074657,77735000
20-06-13,59.900002,60.854286,59.310001,59.548573,46.389137,89327700
21-06-13,59.784286,60,58.299999,59.07143,46.017429,120279600
24-06-13,58.200001,58.380001,56.864285,57.505714,44.797733,120186500
25-06-13,57.957142,58.255714,56.975716,57.51857,44.807732,78540700
26-06-13,57.700001,57.827145,56.522858,56.867142,44.300266,91931000
27-06-13,57.035713,57.341427,56.220001,56.254284,43.822834,84311500
28-06-13,55.908573,57.181427,55.552856,56.647144,44.12888,144629100
01-07-13,57.527142,58.895714,57.317142,58.459999,45.541115,97763400
02-07-13,58.565716,60.232857,58.495716,59.784286,46.57275,117466300
03-07-13,60.122856,60.425713,59.635715,60.114285,46.82983,60232200
05-07-13,60.055714,60.470001,59.335712,59.631428,46.453682,68506200
08-07-13,60.015713,60.142857,58.664288,59.292858,46.189938,74534600
09-07-13,59.085712,60.5,58.625713,60.335712,47.002327,88146100
10-07-13,59.942856,60.685715,59.75,60.104286,46.822041,70351400
